id,author,title,journal_book,year,type,doi,link,
16,"Chand, D. S., Chakraborty, R., Das, S.K.","A note on the Orthoptera (Insecta) fauna of Ballavpur Wildlife Sanctuary, West Bengal, India",Journal of Applied Zoological Researchers,2024,journal,NA,https://www.researchgate.net/publication/387737607_A_NOTE_ON_THE_ORTHOPTERA_INSECTA_FAUNA_OF_BALLAVPUR_WILDLIFE_SANCTUARY_WEST_BENGAL_INDIA,
16,"Adhurya, S., Ray, S.",Scenario analysis with a simulation model of the effect of waterbirds on phosphorus dynamics of a shallow freshwater ecosystem,Environmental Challenges,2022,journal,10.1016/j.envc.2022.100618,https://doi.org/10.1016/j.envc.2022.100618,
16,"Roy, N., Jana, S., Saha, N.C.","Water Birds of Jhilli Pakhira-laya, Jhargram: Diversity and Role as Bioindicators to Local Environmental Condition",Birds of Our Surroundings,2024,book chapter,NA,https://www.researchgate.net/publication/385565097_Birds_of_Jhilli_Pakhiralaya_Jhargram_Diversity_and_Role_as_Bioindicators_to_Local_Environmental_Conditions,
16,"Thevasundari, S., Thilagavathi, C., Hemalatha, M., Nithiya, P., Abirami, P., Rajeswari, B.","Environmental and Ecologial Status of Samudram Lake Thanjavur District, Tamil Nadu, India","Ecology, Environment and Conservation Paper",2025,journal,10.53550/EEC.2025.v31i01.017,https://doi.org/10.53550/EEC.2025.v31i01.017,
17,"Saha, P., Hazra, P.","A natural disaster in Sikkim caused a significant decline in avifaunal abundance in two important wetlands of North Bengal, India",Journal of Animal Diversity,2024,journal,NA,https://jad.lu.ac.ir/article_726421.html,
17,"Rather, H.A., Gautam, V.","A study of winter avifaunal diversity in Upper Lake, in the City of Bhopal, Madhya Pradesh, India",Journal of Animal Diversity,2023,journal,10.22034/JAD.2023.5.4.5,https://doi.org/10.22034/JAD.2023.5.4.5,
17,"Palit, S.",Study of Migratory Avifauna of Santragachi Jheel,Progress in Chemical and Biological Science,2023,book chapter,10.31674/book.2023pcbs002,https://doi.org/10.31674/book.2023pcbs002,
18,"Kumar, N., Kumar, P., Baitha, R., Singh, D.K., Reddy, K.S",Integrative biomonitoring in Litopenaeus vannamei: Metal analysis and biochemical markers,Marine Pollution Bulletin,2025,journal,10.1016/j.marpolbul.2025.117544,https://doi.org/10.1016/j.marpolbul.2025.117544,
18,"Serrano-Jiménez, A., Marques-Valderrama, I., Jimenez-Exposito, R.A., Diaz-Lopez, C., Barrios-Padura, Á., Molina-Huelva, M., Becerra-Villanueva, J.A., Chacartegui, R.",Schoolyard revegetation as a dual mechanism for environmental education and overheat mitigation,Environmental Development,2025,journal,10.1016/j.envdev.2025.101144,https://doi.org/10.1016/j.envdev.2025.101144,
18,"Das, S., Adhurya, S., Ghosh, P., Ray, S.",A process-based dynamic modelling study of the impact of discharge water from shrimp culture on riverine nitrogen cycling: A case study,Ecological Modelling,2025,journal,10.1016/j.ecolmodel.2024.110995,https://doi.org/10.1016/j.ecolmodel.2024.110995,
18,"Ariadi, H., Musa, M., Mahmudi, M.","Organic Material Solubility and Dynamic Modelling Analysis of Intensive Shrimp Farming Activities in the Coastal Area of Pekalongan, Indonesia",Croatian Journal of Fisheries,2025,journal,10.2478/cjf-2025-0008,https://doi.org/10.2478/cjf-2025-0008,
18,"Ariadi, H., Musa, M., Mahmudi, M., Hertika, A.M.S.",The waste load and carrying capacity on intensive shrimp farming: A mini review,Ecological Engineering & Environmental Technology (EEET),2025,journal,10.12912/27197050/201144,https://doi.org/10.12912/27197050/201144,
19,"Mester, T., Benkhard, B., Vasvári, M., Csorba, P., Kiss, E., Balla, D., Fazekas, I., Csépes, E., Barkat, A., Szabó, G.",Hydrochemical assessment of the Kisköre Reservoir (Lake Tisza) and the impacts of water quality on tourism development,Water,2023,journal,10.3390/w15081514,https://doi.org/10.3390/w15081514,
19,"Mukherjee, A., Pal, S., Adhurya, S., Mukhopadhyay, S.K.",Guanotrophy: Waterbirds Pay for Using Resources at Their Wintering Habitats,Integrative Conservation,2024,journal,10.1002/inc3.80,https://doi.org/10.1002/inc3.80,
19,"Adhurya, S., Gayen, D., Das, S., Ray, S.","Diversity and population trends of waterbirds at Lake-2, the Ballavpur Wildlife Sanctuary, West Bengal State, India",Journal of Animal Diversity,2022,journal,10.52547/JAD.2022.4.1.5,https://doi.org/10.52547/JAD.2022.4.1.5,
19,"Adhurya, S., Ray, S.",Scenario analysis with a simulation model of the effect of waterbirds on phosphorus dynamics of a shallow freshwater ecosystem,Environmental Challenges,2022,journal,10.1016/j.envc.2022.100618,https://doi.org/10.1016/j.envc.2022.100618,
20,"Mrope, F.M., Nyerere, N., Mgandu, F.A.",Modeling the transmission dynamics of powdery mildew disease in cashew plants,Modeling Earth Systems and Environment,2025,journal,10.1007/s40808-025-02378-z,https://doi.org/10.1007/s40808-025-02378-z,
20,"Sikazwe, G., Yocgo, R.E., Landi, P., Richardson, D.M.,. Hui, C.",Managing whitefly development to control cassava brown streak virus coinfections,Ecological Modelling,2024,journal,10.1016/j.ecolmodel.2024.110753,https://doi.org/10.1016/j.ecolmodel.2024.110753,
20,"Lusekelo, E., Helikumi, M., Daudi, S. and Mushayabasa, S.",Optimal control applied to a stage-structured cassava mosaic disease model with vector feeding behavior,Results in Control and Optimization,2025,journal,10.1016/j.rico.2025.100522,https://doi.org/10.1016/j.rico.2025.100522,
